x_p,y_p,x_c,y_c,dx_pixel,dy_pixel,sigma_x2,sigma_y2
8.442763744022443,10.712416173490988,12.251374348004433,6.48881849896394,-3.8086106039819896,4.223597674527048,15.028545724956578,17.749405544745446
12.251297182427582,6.489072599103182,8.442688785936127,10.71245212247495,3.8086083964914543,-4.223379523371768,15.028307845769602,17.749483196851077
12.251305790927708,6.489045102577207,8.442696859995197,10.712448172479457,3.808608930932511,-4.22340306990225,15.02833248100118,17.749474592776952
8.442697501627041,10.71244773470795,12.251306831439905,6.489042929031513,-3.808609329812864,4.223404805676438,15.028334378095499,17.74947506853238
8.442708656270591,10.712442377445305,12.251318280007567,6.489005133907016,-3.8086096237369755,4.223437243538289,15.02837011695216,17.74946402549332
8.442698302379444,10.712447459731488,12.251307299234757,6.4890402433426,-3.8086089968553125,4.223407216388887,15.02833724333054,17.749473460314302
12.251369398503655,6.488832790330467,8.442759434182191,10.712418487094634,3.808609964321464,-4.223585696764167,15.028532771095746,17.74940921974004
12.251264727862708,6.489181291656202,8.442656805808241,10.712467260677338,3.808607922054467,-4.223285969021136,15.028204678595037,17.749516090399023
12.2512777194535,6.489138313157285,8.442669459650151,10.712461204196263,3.808608259803348,-4.223322891038978,15.02824437842197,17.749502446783385
12.251371105546445,6.488828828672901,8.442760649145072,10.7124177174814,3.8086104564013734,-4.2235888888085,15.028535730373143,17.749408232131355
8.442660263244466,10.712465572891604,12.251268331341524,6.489169579302506,-3.808608068097058,4.223295993589098,15.028214805317628,17.749511812485412
12.25131370951291,6.489017818871414,8.442704913095762,10.712444417015822,3.8086087964171487,-4.223426598144409,15.028358736066306,17.749465948107698
