x_p,y_p,x_c,y_c,dx_pixel,dy_pixel,sigma_x2,sigma_y2
6.567572570019235,11.759945261945147,9.900954451323617,8.9844878454404,-3.3333818813043825,2.7754574165047465,19.47480801300633,20.87932006607708
8.822095746558736,10.720128106416983,10.7454915002336,5.589716437947878,-1.923395753674864,5.130411668469105,20.589464544819982,16.412523381133933
10.745494989629952,5.589721676377181,8.822094187033395,10.720126889795031,1.9234008025965572,-5.13040521341785,20.589456084081625,16.412536027807413
8.822093805657504,10.720130275655297,10.745490827745485,5.589725765944116,-1.9233970220879808,5.130404509711181,20.589455474235272,16.412522655382098
8.822093749872415,10.720137501815973,10.745481197000393,5.589731686555853,-1.9233874471279773,5.13040581526012,20.589459020685087,16.4124920556847
8.822094184488451,10.720128189132557,10.745493230149833,5.5897226927363395,-1.923399045661382,5.130405496396218,20.589456525017575,16.412530239669298
10.745489990220586,5.589724891882169,8.82209412379125,10.72013066395018,1.9233958664293365,-5.13040577206801,20.589457392065935,16.412519875727227
10.745490754569575,5.589722457385029,8.822094565192106,10.720129736332392,1.9233961893774687,-5.130407278947364,20.589459452027107,16.41252218879679
10.74548928323159,5.589724306142323,8.822094329282749,10.72013099963754,1.9233949539488417,-5.130406693495217,20.589458796128042,16.41251751279478
7.540418091151014,8.380789298518824,7.555418003829734,8.390396590183196,-0.014999912678720584,-0.009607291664371687,23.342947036783567,22.574191702106873
8.82209464455675,10.720133000910284,10.745486209434544,5.589724626527362,-1.9233915648777948,5.130408374382922,20.589461335726384,16.412507329229808
10.745492116225064,5.589723750317048,8.822094095367513,10.720129092687365,1.923398020857551,-5.1304053423703175,20.589456480456146,16.412526709132948
