x_p,y_p,x_c,y_c,dx_pixel,dy_pixel,sigma_x2,sigma_y2
9.068422511262929,11.145368230049273,12.21839905857356,5.6460853992619375,-3.149976547310631,5.499282830787336,19.45604594773793,20.374781468886763
9.068501035558322,11.145487055680574,12.218147435266129,5.645875682769169,-3.149646399707807,5.499611372911405,19.456605991283247,20.373707941327655
12.21835379834654,5.646049064977979,9.0684362434131,11.145389785399408,3.14991755493344,-5.499340720421428,19.456143188661397,20.37458745629383
9.068431456519365,11.145381180599964,12.218371222450456,5.646061433176304,-3.149939765931091,5.49931974742366,19.456106524996894,20.374659229800006
9.068435877199898,11.1453888526731,12.21835557362908,5.64604976158016,-3.1499196964291816,5.49933909109294,19.456140327718842,20.37459458216188
9.068415317378923,11.145355689908301,12.218424605292979,5.646104202253497,-3.150009287914056,5.499251487654805,19.455989152554444,20.37488526550919
12.21805104962655,5.6457963323034095,9.068530837736501,11.145532768743475,3.1495202118900494,-5.499736436440066,19.456820401264007,20.37329890459259
12.21843522610104,5.646118030015815,9.06841049508143,11.14535145875747,3.1500247310196094,-5.499233428741654,19.455961866695944,20.37493776078156
12.218358216787358,5.646051701470605,9.068435162499823,11.145387534531304,3.1499230542875356,-5.499335833060699,19.456135488777722,20.374606609743722
9.068411180453353,11.145351711181238,12.218434256166459,5.6461159152103555,-3.150023075713106,5.499235795970883,19.455963681335746,20.37492963271008
7.9166805821853945,7.785929804634685,7.93916660516449,7.805662603694667,-0.022486022979095743,-0.019732799059981154,23.21799144506219,28.362493492050035
12.218379369200871,5.646070680004591,9.068428132535567,11.145377765286437,3.149951236665304,-5.4993070852818455,19.45608638088844,20.37469758438368
