name,x,y,mag,counts
GSC06325-00020,24.692,398.21,15.31,13050.0
N/A,469.66,981.1,N/A,12800.0
N/A,41.065,256.99,N/A,12790.0
N/A,823.3,886.91,N/A,12560.0
N/A,1033.8,1017.0,N/A,12410.0
N/A,968.63,595.99,N/A,12280.0
N/A,567.54,754.65,N/A,12020.0
N/A,382.16,521.79,N/A,11900.0
N/A,173.64,760.19,N/A,11670.0
N/A,581.36,487.59,N/A,11360.0
N/A,610.56,984.68,N/A,11280.0
N/A,1240.3,952.7,N/A,11090.0
GSC06325-01705,736.39,845.59,15.5,11070.0
N/A,747.07,223.67,N/A,10980.0
N/A,301.76,1018.5,N/A,10930.0
N/A,296.64,929.85,N/A,10870.0
N/A,274.65,619.89,N/A,10790.0
N/A,863.09,632.58,N/A,10780.0
N/A,244.37,257.28,N/A,10710.0
N/A,732.08,596.34,N/A,10500.0
N/A,339.3,133.54,N/A,10430.0
N/A,1008.6,1027.7,N/A,10400.0
N/A,917.44,118.68,N/A,10190.0
N/A,480.47,329.2,N/A,10180.0
N/A,681.76,136.68,N/A,10080.0
N/A,590.36,999.35,N/A,10070.0
N/A,1188.0,494.34,N/A,9797.0
N/A,312.68,274.12,N/A,9742.0
N/A,819.08,901.35,N/A,9716.0
N/A,287.1,623.42,N/A,9488.0
N/A,904.49,476.27,N/A,9442.0
N/A,1177.8,81.277,N/A,9404.0
N/A,1052.2,405.09,N/A,9344.0
N/A,1046.0,728.1,N/A,9278.0
N/A,381.02,402.37,N/A,9156.0
N/A,1058.0,194.98,N/A,9138.0
N/A,93.008,281.09,N/A,9107.0
N/A,428.86,174.76,N/A,9018.0
N/A,170.31,1031.7,N/A,8991.0
N/A,451.74,988.59,N/A,8785.0
N/A,515.19,908.24,N/A,8694.0
N/A,224.86,810.37,N/A,8668.0
N/A,473.12,924.91,N/A,8652.0
N/A,636.74,360.98,N/A,8609.0
N/A,872.23,985.12,N/A,8376.0
N/A,642.53,942.16,N/A,8188.0
N/A,1042.2,169.2,N/A,8069.0
N/A,71.463,209.02,N/A,8053.0
N/A,932.5,580.32,N/A,8050.0
N/A,1011.6,987.51,N/A,7919.0
N/A,678.73,753.15,N/A,7881.0
N/A,407.8,804.45,N/A,7875.0
N/A,796.73,744.78,N/A,7758.0
N/A,587.28,493.29,N/A,7734.0
N/A,279.34,546.13,N/A,7703.0
N/A,758.14,209.04,N/A,7608.0
N/A,871.99,457.91,N/A,7589.0
N/A,494.21,762.05,N/A,7546.0
N/A,445.93,378.49,N/A,7480.0
N/A,966.86,916.77,N/A,7385.0
N/A,716.75,122.06,N/A,7377.0
N/A,17.383,462.28,N/A,7285.0
N/A,566.26,568.26,N/A,7234.0
N/A,231.43,275.03,N/A,7210.0
N/A,373.14,39.949,N/A,7097.0
N/A,925.89,420.84,N/A,7088.0
N/A,129.51,745.84,N/A,6872.0
N/A,33.544,446.95,N/A,6762.0
N/A,107.5,345.21,N/A,6732.0
N/A,349.9,842.05,N/A,6661.0
N/A,1194.0,179.66,N/A,6514.0
N/A,205.03,723.42,N/A,6490.0
N/A,859.53,466.24,N/A,6274.0
N/A,1148.9,1019.0,N/A,6271.0
N/A,582.29,297.44,N/A,6140.0
N/A,739.63,312.99,N/A,6080.0
N/A,802.63,493.34,N/A,6060.0
N/A,453.88,950.51,N/A,6023.0
N/A,354.18,112.78,N/A,5608.0
N/A,683.54,747.16,N/A,5513.0
N/A,39.299,906.98,N/A,5368.0
N/A,403.54,522.17,N/A,5346.0
N/A,492.94,638.16,N/A,5312.0
N/A,621.12,68.125,N/A,5237.0
N/A,659.33,1025.0,N/A,5186.0
N/A,788.51,618.8,N/A,5118.0
N/A,57.132,423.21,N/A,5058.0
N/A,875.0,503.06,N/A,5040.0
N/A,451.68,387.03,N/A,4953.0
N/A,884.9,445.8,N/A,4898.0
N/A,197.75,871.3,N/A,4814.0
N/A,423.05,457.63,N/A,4783.0
N/A,112.11,477.76,N/A,4652.0
N/A,412.47,267.19,N/A,4620.0
N/A,468.91,913.15,N/A,4536.0
N/A,78.84,173.91,N/A,4460.0
N/A,625.7,751.78,N/A,4363.0
N/A,391.58,566.9,N/A,4243.0
N/A,405.63,188.63,N/A,4180.0
N/A,795.39,752.01,N/A,4159.0
N/A,648.04,694.81,N/A,3902.0
N/A,914.98,881.5,N/A,3825.0
N/A,774.91,659.72,N/A,3812.0
N/A,147.09,298.76,N/A,3806.0
N/A,488.65,772.73,N/A,3751.0
N/A,470.61,421.41,N/A,2674.0
N/A,1073.5,3.3129,N/A,N/A
N/A,3.1843,351.48,N/A,N/A
N/A,3.3923,1004.4,N/A,N/A
N/A,7.2448,1037.3,N/A,N/A
N/A,1265.5,1037.3,N/A,N/A
N/A,8.355,1000.6,N/A,-2118.0
N/A,616.16,414.17,N/A,-3068.0
N/A,123.66,437.6,N/A,-4562.0
N/A,9.4981,1007.8,N/A,-7264.0
N/A,1164.3,1037.2,N/A,-18650.0
N/A,253.12,1037.1,N/A,-18860.0
N/A,250.8,1037.2,N/A,-19510.0
N/A,395.84,1037.2,N/A,-20860.0
N/A,903.29,1037.2,N/A,-21670.0
N/A,481.54,1037.2,N/A,-21720.0
N/A,833.18,1037.2,N/A,-21770.0
N/A,845.15,1037.2,N/A,-21810.0
N/A,1170.4,1037.2,N/A,-21970.0
N/A,1039.7,1037.2,N/A,-22030.0
N/A,134.16,1037.2,N/A,-22070.0
N/A,77.861,1037.2,N/A,-22150.0
N/A,412.34,1037.2,N/A,-22190.0
N/A,970.26,1037.2,N/A,-22250.0
N/A,657.77,1037.2,N/A,-22700.0
N/A,183.8,1037.2,N/A,-22860.0
N/A,811.48,1037.1,N/A,-23000.0
N/A,21.303,1037.2,N/A,-23020.0
N/A,617.82,1037.2,N/A,-23140.0
N/A,392.79,1037.2,N/A,-23420.0
N/A,728.17,1037.2,N/A,-23550.0
N/A,226.45,1037.2,N/A,-23620.0
N/A,794.83,1037.3,N/A,-23670.0
N/A,1102.8,1037.2,N/A,-23690.0
N/A,1077.3,1037.1,N/A,-23720.0
N/A,438.72,1037.2,N/A,-23780.0
N/A,514.74,1037.1,N/A,-23880.0
N/A,364.07,1037.2,N/A,-24040.0
N/A,453.66,1037.2,N/A,-24130.0
N/A,335.82,1037.2,N/A,-24220.0
N/A,128.16,1037.2,N/A,-24330.0
N/A,35.074,1037.2,N/A,-24430.0
N/A,213.27,1037.2,N/A,-24460.0
N/A,85.235,1037.2,N/A,-24620.0
N/A,1191.6,1037.2,N/A,-24640.0
N/A,141.27,1037.2,N/A,-24730.0
N/A,873.06,1037.3,N/A,-24760.0
N/A,1143.8,1037.3,N/A,-24800.0
N/A,1072.1,1037.2,N/A,-24810.0
N/A,410.05,1037.3,N/A,-24900.0
N/A,916.42,1037.3,N/A,-24920.0
N/A,24.949,1037.3,N/A,-24990.0
N/A,1215.2,1037.3,N/A,-25170.0
N/A,298.58,1037.3,N/A,-25250.0
N/A,908.99,1037.2,N/A,-25260.0
N/A,1121.8,1037.2,N/A,-25260.0
N/A,433.06,1037.3,N/A,-25310.0
N/A,587.95,1037.2,N/A,-25320.0
N/A,204.93,1037.3,N/A,-25340.0
N/A,852.25,1037.2,N/A,-25410.0
N/A,64.407,1037.2,N/A,-25420.0
N/A,733.94,1037.2,N/A,-25470.0
N/A,556.07,1037.2,N/A,-25510.0
N/A,56.53,1037.2,N/A,-25530.0
N/A,608.91,1037.3,N/A,-25710.0
N/A,1206.1,1037.2,N/A,-25720.0
N/A,164.93,1037.2,N/A,-25740.0
N/A,1060.5,1037.2,N/A,-25790.0
N/A,756.48,1037.2,N/A,-25810.0
N/A,1131.2,1037.3,N/A,-25840.0
N/A,691.52,1037.2,N/A,-25850.0
N/A,982.12,1037.3,N/A,-25880.0
N/A,342.63,1037.3,N/A,-25900.0
N/A,881.93,1037.2,N/A,-25920.0
N/A,283.51,1037.3,N/A,-25980.0
N/A,568.46,1037.2,N/A,-25990.0
N/A,491.04,1037.3,N/A,-26010.0
N/A,583.95,1037.3,N/A,-26030.0
N/A,1067.6,1037.2,N/A,-26030.0
N/A,868.12,1037.2,N/A,-26140.0
N/A,696.09,1037.3,N/A,-26160.0
N/A,1092.0,1037.3,N/A,-26200.0
N/A,465.01,1037.3,N/A,-26220.0
N/A,244.06,1037.2,N/A,-26230.0
N/A,836.95,1037.2,N/A,-26290.0
N/A,350.43,1037.3,N/A,-26400.0
N/A,1237.2,1037.3,N/A,-26410.0
N/A,399.82,1037.3,N/A,-26470.0
N/A,642.05,1037.2,N/A,-26490.0
N/A,862.65,1037.3,N/A,-26500.0
N/A,500.02,1037.3,N/A,-26520.0
N/A,538.64,1037.3,N/A,-26520.0
N/A,654.08,1037.2,N/A,-26530.0
N/A,236.87,1037.2,N/A,-26590.0
N/A,948.91,1037.2,N/A,-26600.0
N/A,1022.9,1037.2,N/A,-26680.0
N/A,474.67,1037.2,N/A,-26710.0
N/A,1210.8,1037.3,N/A,-26750.0
N/A,268.04,1037.2,N/A,-26770.0
N/A,1157.0,1037.3,N/A,-26780.0
N/A,1197.0,1037.2,N/A,-26820.0
N/A,1096.8,1037.3,N/A,-26840.0
N/A,748.54,1037.2,N/A,-26860.0
N/A,828.12,1037.3,N/A,-26870.0
N/A,318.98,1037.3,N/A,-26880.0
N/A,50.331,1037.3,N/A,-26880.0
N/A,778.16,1037.3,N/A,-26940.0
N/A,358.94,1037.3,N/A,-27030.0
N/A,105.0,1037.2,N/A,-27040.0
N/A,368.89,1037.3,N/A,-27060.0
N/A,289.42,1037.2,N/A,-27060.0
N/A,1082.0,1037.2,N/A,-27090.0
N/A,855.97,1037.2,N/A,-27100.0
N/A,804.54,1037.2,N/A,-27120.0
N/A,648.89,1037.3,N/A,-27120.0
N/A,632.22,1037.3,N/A,-27120.0
N/A,966.02,1037.3,N/A,-27140.0
N/A,329.04,1037.3,N/A,-27170.0
N/A,781.43,1037.2,N/A,-27220.0
N/A,145.04,1037.2,N/A,-27250.0
N/A,274.05,1037.2,N/A,-27260.0
N/A,1034.2,1037.3,N/A,-27350.0
N/A,744.59,1037.3,N/A,-27410.0
N/A,1112.0,1037.3,N/A,-27430.0
N/A,766.94,1037.2,N/A,-27450.0
N/A,896.02,1037.2,N/A,-27520.0
N/A,279.07,1037.2,N/A,-27520.0
N/A,1011.1,1037.2,N/A,-27560.0
N/A,929.91,1037.3,N/A,-27560.0
N/A,380.49,1037.2,N/A,-27630.0
N/A,177.0,1037.3,N/A,-27700.0
N/A,1126.1,1037.2,N/A,-27700.0
N/A,1221.2,1037.3,N/A,-27770.0
N/A,1018.9,1037.3,N/A,-27840.0
N/A,552.09,1037.2,N/A,-27930.0
N/A,195.95,1037.2,N/A,-27960.0
N/A,1232.0,1037.3,N/A,-28060.0
N/A,821.27,1037.3,N/A,-28060.0
N/A,42.987,1037.2,N/A,-28080.0
N/A,525.93,1037.2,N/A,-28220.0
N/A,722.86,1037.3,N/A,-28270.0
N/A,115.72,1037.3,N/A,-28320.0
N/A,548.25,1037.3,N/A,-28370.0
N/A,72.255,1037.3,N/A,-28390.0
N/A,261.61,1037.2,N/A,-28400.0
N/A,596.04,1037.2,N/A,-28450.0
N/A,627.79,1037.3,N/A,-28580.0
N/A,221.21,1037.3,N/A,-28590.0
N/A,1086.8,1037.3,N/A,-28600.0
N/A,679.84,1038.1,N/A,-28760.0
N/A,573.95,1037.2,N/A,-29070.0
N/A,387.04,1037.3,N/A,-29130.0
N/A,700.95,1037.2,N/A,-29420.0
N/A,1252.3,1037.3,N/A,-30110.0
