star,a,b,sigma_x2,sigma_y2,x,y
GSC06325-00749,39616.08785876762,3171.0800962762146,5.951249442365195,6.081551143028953,1193.9,86.072
GSC06325-01756,35281.2375024706,3029.1153108289063,3.7593437101666867,3.9757876541549364,918.04,973.94
GSC06325-00179,7506.596173660989,2775.2481979132563,4.405974150458817,5.265435213739883,221.75,96.527
GSC06325-00140,7609.171045929894,2787.913139255403,3.6863559378853115,4.623605033996285,426.25,218.06
GSC06325-00347,7137.837618744113,2794.393553282838,3.9666275681990566,4.466313372523045,839.89,292.18
GSC06325-00086,6104.321514843843,2783.647651498281,4.014303099193159,4.908154634148325,709.39,148.8
GSC06325-00656,4862.134015175338,2769.127723622502,4.099637783485604,4.9352074294489165,768.35,151.48
GSC06325-00059,4896.970911682076,2767.7706445060135,4.387796138136738,4.253065799165266,1077.8,525.09
GSC06325-00786,4379.161023246717,2764.5854655906787,3.567260720762895,4.3544402061205565,556.43,268.05
GSC06325-01848,3678.7482012041364,2742.3292546154685,4.693741256397103,4.4958203337007605,1174.5,795.13
GSC06325-00104,3683.879959245044,2761.7417803577387,4.0463911427543495,5.213074209427738,598.92,87.441
GSC06325-00737,3311.521975324874,2744.7768401046687,3.2725196527959297,4.071548979095071,478.31,350.76
GSC06325-01934,3136.802164986413,2735.837122990382,3.5722172426005843,3.8425782297027147,898.24,810.26
GSC06325-00275,2544.7867372763326,2762.609366884338,4.547920635718193,4.8116788541738105,1007.7,222.63
GSC06325-00053,1828.915944688159,2750.577044703498,5.628298061959175,5.251255532050946,1239.6,359.89
N/A,1890.0508345945843,2746.657598403015,4.667917833020138,5.390652225454256,921.52,95.768
GSC06325-00473,1903.4956151377203,2738.931885873695,3.336187357085183,3.871753557685142,606.75,377.14
GSC06325-02093,1731.4815055293936,2737.2738487298448,3.740351781550699,3.600581694682224,941.88,663.37
GSC06325-01849,1637.1001579011845,2709.037938147697,4.080598121078611,4.001979177153411,80.535,887.42
N/A,1302.4237093264537,2759.7141937276942,5.635820930303165,5.317687634141949,1217.8,291.44
GSC06325-00755,1422.2403744254093,2747.6764555500026,4.090226244848895,4.486431659819173,858.58,215.78
GSC06325-01922,1712.232125648223,2712.9704005639846,3.065541102631748,3.8083356482052784,491.74,790.1
N/A,1254.9401096650854,2729.4202131725547,4.986360024069731,4.873840770529091,1255.3,628.75
GSC06325-00167,1370.0354351240853,2735.8758419224855,3.72376459760968,4.741457816934156,412.22,158.17
GSC06325-00680,1656.7903601220578,2725.0796806119256,3.037783144024604,3.75043302019614,507.12,410.69
GSC06325-02060,1301.8805624780498,2706.19147920764,3.11978462383867,3.4783169121135837,394.0,682.87
GSC06325-00599,1160.3877700112546,2727.5786858977385,3.322760769484795,3.854520393981193,660.82,363.69
N/A,933.7377331800238,2721.0289250796313,5.009112429124524,4.631593921904729,1227.7,775.95
GSC06325-00500,846.0836241027954,2731.9853852171796,4.687997293609875,5.5483286169338815,737.01,73.261
GSC06325-00395,1017.5185011877244,2708.159111622156,3.7608077566793567,4.098569422943061,188.68,454.2
GSC06325-00461,930.444845189596,2720.9285177107795,3.687753219106346,4.533568865181629,478.34,214.32
GSC06325-02005,1178.440958743078,2721.777626482659,2.816323850457618,3.5174291721862265,694.14,782.94
GSC06325-02097,1078.0745770429655,2708.127279883111,2.9635653942135822,3.7531169158774773,306.11,643.33
GSC06325-02081,1066.307365363174,2706.145935356805,3.1643321215409523,3.001329881313177,273.43,764.17
N/A,806.3399338757217,2737.381223130658,4.445173870210442,4.22062630398011,1002.0,340.64
N/A,814.981624599918,2731.9047780538967,4.106221265051859,4.458483918620704,770.01,265.31
N/A,751.0841173567503,2727.0359252426656,4.633876928530534,4.694124490022179,1193.6,567.71
GSC06325-01779,939.9514209531487,2717.6795636460447,3.1309512965761748,3.6887515575453707,751.08,937.96
N/A,905.5893477209446,2731.0730969576234,3.533846332427038,3.484138284089048,992.36,758.67
N/A,653.6197193722918,2730.1554281651747,4.533548330524583,4.928524278220431,789.29,102.84
GSC06325-00128,557.6463091289921,2733.5019478014274,4.513232875405803,6.439303080213632,806.68,198.81
N/A,656.6839565977104,2713.940453349846,4.676641282927429,4.132811347146769,1227.7,939.93
N/A,521.1215005395094,2743.168361598404,4.85651755596416,6.142194029180715,956.89,33.684
N/A,714.228619324727,2704.401712419311,3.0221593093788566,3.3807097723375397,335.83,798.31
N/A,638.6672160317938,2703.963485555692,3.125373110989075,3.7243036207744673,490.7,858.82
N/A,602.611945505814,2690.785250228101,3.467675457721345,3.6819013243184444,170.62,909.79
N/A,562.6641668420644,2708.6753753959365,4.012973166206137,4.285734601555508,62.779,236.91
N/A,468.6457623143628,2728.332983085995,3.9993751008941216,5.291913534458977,655.53,84.239
N/A,628.1778198661749,2691.4215110123673,3.1561819984610024,3.6228028210150325,224.28,814.46
N/A,549.2103360415211,2704.5014933274338,3.0694576878649995,3.703327917450859,726.91,886.8
N/A,409.49280977168587,2735.1563466373236,5.504604313953734,5.901637124439755,1167.4,281.98
N/A,500.658507062633,2752.890563069925,2.897975765170709,3.5566786748928325,741.03,619.63
N/A,535.7520533156405,2717.269251978562,2.883973251096415,3.8656450951644605,541.88,654.77
N/A,489.4706056683227,2721.1078815514006,3.6958379620346102,3.990721968153174,953.29,804.07
N/A,446.38012800157725,2718.4909343269487,3.9032954975294856,3.5655283076514364,540.39,534.6
N/A,428.19455578893746,2735.3349225032653,3.33057124645453,3.151927059535164,838.66,884.91
N/A,426.50708300559717,2722.626018890834,3.3980548942479403,3.560498464090382,588.4,307.04
N/A,345.98522736838146,2718.722494642699,3.3982618229575356,3.7442209048262556,725.87,700.55
