star,a,b,sigma_x2,sigma_y2,x,y
GSC06325-01883,103731.53544689169,4848.871953522946,2.1250352052103323,2.8145112238159165,620.14,877.52
GSC06325-00140,8758.808219755929,4367.607147187473,3.42530137562546,4.289034809297469,266.83,85.451
GSC06325-00341,7215.272635502508,4409.310841625716,4.862932721257732,4.535735801005106,1254.1,197.84
GSC06325-00086,7470.118365002854,4373.551910158503,3.3988224822728412,4.447784889046741,550.06,16.419
GSC06325-00656,5982.0650108433965,4357.339133026893,3.3578696442793037,4.531851756966452,609.16,19.119
GSC06325-01822,5983.114386071931,4365.027006967436,3.618120781590627,3.3326944478835863,1149.7,703.61
GSC06325-00401,3197.460399718097,4377.310123548503,4.415622821724019,4.480649485774937,1109.3,91.648
GSC06325-00737,3846.531193602466,4328.9870568579245,3.0311945381560887,3.844405278408253,318.87,218.2
GSC06325-00275,3321.795637234985,4368.0745325903345,3.4319511254059876,4.182390720293396,848.67,90.183
N/A,3116.447369817695,4302.604989463654,2.2591653292220184,3.0435927578202744,347.75,920.89
N/A,1751.4142088145763,4380.733800760572,5.298019772095621,5.20957849320624,1201.6,23.556
GSC06325-01723,2643.036970097268,4315.426992574347,2.0628299657605096,2.805713755584446,551.26,856.26
GSC06325-01922,2354.0982283152016,4300.750128665428,2.2713942445187802,3.0180684611846207,332.1,657.8
N/A,1358.1628979216666,4494.272350129337,5.525707158320909,5.02938377275588,1257.9,11.922
GSC06325-02033,1513.6162881944754,4344.708980567964,3.8716097273596923,4.817245764183511,1160.0,618.6
GSC06325-00167,1516.4160950412547,4339.856978513227,3.425821827814812,4.456771212804703,252.81,25.829
GSC06325-00599,1411.4131477032197,4331.319294242372,2.7917773750789268,3.6926371678143184,501.51,231.3
N/A,1436.27672551051,4336.317336059261,3.103816883438825,3.0791731141514593,1068.8,644.16
N/A,1241.7832450938213,4326.17383306971,3.8335761699775626,4.022668962572346,1218.9,880.69
GSC06325-02081,1202.1908233216363,4295.6133783731075,2.950663519768483,3.3084685701754677,113.94,631.84
GSC06325-01779,1388.1521355613495,4315.467553852375,2.0345704078320876,3.0169967362290584,591.68,805.88
N/A,1087.9419389694685,4351.189162432759,3.1735308808577245,3.546159579001339,842.44,207.95
N/A,1031.2156066001075,4338.085512521444,3.1478081939678915,3.9730514225378193,610.55,132.99
N/A,1031.6532651381267,4343.286146435431,3.260968685751791,3.389722587961572,1130.1,761.39
N/A,1131.3363142921678,4278.58687052539,2.7050019548885214,3.3867011255993753,162.77,963.92
N/A,1179.0789147391772,4271.551659297781,2.9795652075803387,2.8628097521883147,95.665,929.11
N/A,850.9566128840855,4343.257114346645,3.1592242634531553,4.389489725355526,796.07,85.47
N/A,1026.7193189343755,4325.348914543587,2.799723334008968,3.17176079747348,1068.2,808.02
N/A,642.7184056112479,4355.9835085392515,4.352913218111339,4.2412129865390815,1108.8,143.97
N/A,776.7380121069563,4259.8216519691805,2.784769330741254,3.263553153614095,176.13,665.68
N/A,895.6817637290994,4297.416356701166,2.166803811763791,2.9126084448198397,330.99,726.11
N/A,593.5440205900271,4359.694628461482,3.990009062059301,4.122463753382142,1164.0,378.95
N/A,804.6828085096523,4269.51187730707,2.532840126848667,2.8457560175309213,64.675,682.1
N/A,854.1880271852715,4313.755951429302,2.130160174681395,2.547684986245299,567.54,754.65
N/A,423.2219122210467,4314.589578691258,4.745121327696088,4.1316484207394035,1240.3,952.7
N/A,651.8433227594477,4290.546378303351,2.0940280929060098,3.2447202462429576,296.64,929.85
N/A,311.7876968032078,4346.48626179753,4.601783681155914,11.111017610305007,917.44,118.68
N/A,498.0574939050708,4315.330119929076,3.335509790578039,3.468215588825576,480.47,329.2
N/A,413.5556736611468,4370.9238648679075,4.378304077768042,3.999994596953695,1177.8,81.277
N/A,564.531092720765,4336.534813224866,2.606534940953395,3.085509935406544,381.02,402.37
N/A,548.2312947765097,4276.96377993334,2.3736383522354485,3.1874193539858844,224.86,810.37
N/A,505.66694771704357,4335.847669734659,2.425899727040531,3.668464384839941,636.74,360.98
N/A,650.2437994322829,4301.879818892738,1.6070392674387444,2.5970169779323937,642.53,942.16
N/A,377.1924507790329,4304.754602434727,3.072004822648133,2.8826974612338105,966.86,916.77
N/A,514.4664241843755,4336.560992496947,1.5145471014909784,3.260625671287849,566.26,568.26
N/A,361.92754372682793,4316.04969926023,3.3876580854866787,4.833364406254531,373.14,39.949
N/A,344.40744129985285,4359.758130296061,3.960157967858205,4.19337572853053,1194.0,179.66
N/A,312.08921493210795,4328.8645599518495,2.993622615404255,3.4715234009863565,582.29,297.44
N/A,340.38608816153106,4332.853616522436,2.4990318232155113,2.8875110917617772,739.63,312.99
N/A,341.14205877969624,4279.301035780464,2.8513357237501387,3.893551551499261,39.299,906.98
N/A,296.555297559073,4313.675976195045,1.5199885694660271,2.151192031503678,625.7,751.78
