star,a,b,sigma_x2,sigma_y2,x,y
GSC06325-01883,103730.38752018528,4843.09280597171,2.1255685126498545,2.8151841166539335,620.14,877.52
GSC06325-02056,91827.37957676369,4835.466708070303,2.2926146188138734,2.9433254605720083,713.88,552.25
GSC06325-01783,16355.782769009242,4424.541506111752,4.014550633972825,3.589405466345274,1216.5,818.38
GSC06325-00008,9857.427693939278,4397.770705506968,3.2283215478833065,3.4862017903445364,973.13,375.27
GSC06325-00140,8758.68539550391,4367.059763024613,3.426222612784442,4.290273533926009,266.83,85.451
GSC06325-00341,7215.0696664541265,4410.006476428797,4.861416572164868,4.5342104465549005,1254.1,197.84
GSC06325-01694,11087.297547446507,4365.604557442024,2.211570288649757,2.8576876929524713,633.83,1003.4
GSC06325-00086,7470.223380249549,4375.042791195557,3.3959745333969007,4.444170789831097,550.06,16.419
GSC06325-00656,5981.880631518798,4355.903251421389,3.361242417665895,4.536562504120626,609.16,19.119
GSC06325-00059,6930.050608142472,4382.116905418843,2.9815002282154577,3.29961822945739,918.92,393.06
GSC06325-01822,5983.1708492054495,4365.465772770558,3.616962076618412,3.331682214178704,1149.7,703.61
GSC06325-00786,5323.331995297268,4359.847393904465,2.9999594173841957,3.897387303133322,396.99,135.5
GSC06325-01848,5655.0867284394,4370.986899880503,3.0864354500880373,3.1063446957935663,1015.7,663.31
GSC06325-00551,4174.460972231848,4326.572643842091,4.130582747515623,4.728721969568826,58.921,52.516
GSC06325-00365,4273.659812947193,4394.675002111928,4.66931550494404,3.9532568227259612,972.03,306.71
GSC06325-01731,5143.52527729643,4297.692597889314,2.4115985138886042,2.857891210865975,227.91,870.87
GSC06325-02092,4347.1320924581905,4308.986217854158,3.014123351293016,3.2485645820363964,67.572,514.68
GSC06325-00089,4665.206539629192,4341.998274889698,2.5523248013817605,3.1925169621196496,406.74,344.31
GSC06325-00401,3196.9747704728384,4373.059857159569,4.440203259433764,4.506248520701862,1109.3,91.648
GSC06325-00737,3846.340720849558,4327.7506826347,3.0353807608297694,3.849753600409148,318.87,218.2
GSC06325-01934,4712.745062506603,4352.98877767687,2.314838734731742,2.8324920854491733,738.98,678.33
GSC06325-00275,3321.647501004881,4366.982042321036,3.436798218190076,4.188244932730023,848.67,90.183
GSC06325-00293,3973.8781543915056,4336.809653397221,2.7033017989040125,3.30658255705986,418.56,308.33
GSC06325-01968,4077.630398888283,4307.562652496779,2.2026052348335807,2.952819139215209,382.23,993.95
GSC06325-00329,2890.0802914076203,4299.23627589578,3.25076456050286,3.678270928187654,80.592,325.62
GSC06325-00053,2608.731376625864,4364.363307033833,4.014660291332266,4.040289031365872,1080.7,227.8
N/A,3115.991606170606,4300.608933571745,2.265673450714521,3.0522252525430833,347.75,920.89
N/A,3121.5009080992886,4296.038048723695,2.331874112945809,2.9011479513968883,284.19,983.35
GSC06325-00611,2581.600057975557,4308.205577100168,2.8734795695928157,3.3843435001146025,188.19,366.67
N/A,1751.7086248040432,4382.027126858849,5.28015882482812,5.192857876240259,1201.6,23.556
GSC06325-00473,2402.523563359283,4338.962304008774,2.726579080439462,3.4229513201687602,447.33,244.71
GSC06325-00287,2246.3508313825882,4352.348657452658,3.328506226942316,3.575578677018358,982.9,329.75
GSC06325-02093,2459.272346855582,4357.125915472539,2.434147781364802,2.9663077756572265,782.64,531.24
GSC06325-00755,1826.546025682113,4346.968255277286,3.204898535900463,4.324751843453964,699.36,83.536
GSC06325-01723,2642.848481326461,4314.027387367177,2.067474858845114,2.8120972674807936,551.26,856.26
GSC06325-01922,2354.138582721598,4300.949431185164,2.2705357818410357,3.0169587455089277,332.1,657.8
N/A,1820.2430547725967,4348.859410054669,3.426030338481299,3.5696184926415273,1096.4,496.56
N/A,1358.860450657534,4493.840381211631,5.51499665604548,5.040508060772463,1257.9,11.922
GSC06325-00680,1951.0651548020726,4318.899079933803,2.822187769052864,3.4400816079146517,347.77,278.35
GSC06325-02033,1513.3156232267577,4343.036941905994,3.890274087137006,4.840598465544773,1160.0,618.6
GSC06325-00167,1515.9947094635625,4333.406749754957,3.488383514707875,4.533335447722222,252.81,25.829
N/A,2063.4507622066963,4318.94041349919,2.3734760710486325,2.8606581940765,886.22,883.37
GSC06325-02061,2103.450947212941,4365.730163176658,2.257409682970498,2.9184049580048965,680.38,570.89
N/A,1458.3876451422366,4348.250590051543,3.4771220760807244,3.5321899518658437,1137.1,525.29
GSC06325-02060,1612.2857753175574,4294.69834719189,2.675959746880373,2.9750201785815,234.4,550.48
GSC06325-00599,1411.3358313632057,4330.64640615286,2.797423257056901,3.700077246140987,501.51,231.3
N/A,1435.5576256022382,4333.066559322247,3.136335934945345,3.1091573526672343,1068.8,644.16
N/A,1241.5861200720983,4324.306324993629,3.8595182115219835,4.046543941738074,1218.9,880.69
