name,x,y,mag,counts
N/A,234.66,616.45,N/A,12410.0
N/A,726.91,886.8,N/A,12200.0
N/A,200.74,389.98,N/A,12040.0
N/A,622.0,906.4,N/A,11570.0
N/A,1167.4,281.98,N/A,11370.0
N/A,983.05,1018.6,N/A,11310.0
N/A,28.506,423.26,N/A,11010.0
N/A,741.03,619.63,N/A,10700.0
N/A,66.723,495.14,N/A,10590.0
N/A,333.25,892.09,N/A,10540.0
N/A,541.88,654.77,N/A,10390.0
N/A,953.29,804.07,N/A,10100.0
N/A,1063.8,608.15,N/A,9954.0
N/A,540.39,534.6,N/A,9942.0
N/A,143.12,792.99,N/A,9213.0
N/A,446.78,755.3,N/A,8940.0
N/A,891.09,728.18,N/A,8911.0
N/A,838.66,884.91,N/A,8462.0
N/A,145.03,624.02,N/A,8300.0
N/A,434.37,752.14,N/A,8179.0
N/A,588.4,307.04,N/A,8115.0
N/A,725.87,700.55,N/A,7151.0
N/A,958.5,250.0,N/A,2585.0
N/A,2.4788,48.324,N/A,N/A
N/A,2.1807,77.672,N/A,N/A
N/A,2.4363,87.588,N/A,N/A
N/A,2.419,110.0,N/A,N/A
N/A,2.1913,117.78,N/A,N/A
N/A,2.4727,126.9,N/A,N/A
N/A,2.9159,131.82,N/A,N/A
N/A,2.3153,147.93,N/A,N/A
N/A,2.5726,152.82,N/A,N/A
N/A,2.2596,162.3,N/A,N/A
N/A,2.7658,184.91,N/A,N/A
N/A,2.2151,199.55,N/A,N/A
N/A,2.7716,204.96,N/A,N/A
N/A,1266.9,223.59,N/A,N/A
N/A,2.4384,224.87,N/A,N/A
N/A,2.8171,231.92,N/A,N/A
N/A,2.4176,240.37,N/A,N/A
N/A,2.5986,250.5,N/A,N/A
N/A,2.5918,262.85,N/A,N/A
N/A,2.3896,271.87,N/A,N/A
N/A,2.8772,282.94,N/A,N/A
N/A,2.3444,287.18,N/A,N/A
N/A,2.6032,308.32,N/A,N/A
N/A,2.3586,316.58,N/A,N/A
N/A,3.067,320.05,N/A,N/A
N/A,2.4644,363.37,N/A,N/A
N/A,3.0515,388.83,N/A,N/A
