name,x,y,mag,counts
N/A,1372.3,4151.3,N/A,N/A
N/A,1214.4,4150.9,N/A,N/A
N/A,1202.6,4151.4,N/A,N/A
N/A,1225.8,4151.3,N/A,N/A
N/A,1240.5,4151.0,N/A,N/A
N/A,1347.3,4151.1,N/A,N/A
N/A,632.99,4151.0,N/A,N/A
N/A,291.01,4151.4,N/A,N/A
N/A,761.91,4151.0,N/A,N/A
N/A,1116.3,4151.2,N/A,N/A
N/A,40.337,4151.1,N/A,N/A
N/A,282.25,4151.2,N/A,N/A
N/A,92.707,4151.0,N/A,N/A
N/A,1139.4,4151.3,N/A,N/A
N/A,238.46,4151.4,N/A,N/A
N/A,490.53,4151.1,N/A,N/A
N/A,896.57,4151.2,N/A,N/A
N/A,136.19,4151.1,N/A,N/A
N/A,1041.7,4151.2,N/A,N/A
N/A,61.311,4150.9,N/A,N/A
N/A,117.07,4151.3,N/A,N/A
N/A,790.45,4151.2,N/A,N/A
N/A,871.65,4151.3,N/A,N/A
N/A,695.23,4151.4,N/A,N/A
N/A,325.67,4151.4,N/A,N/A
N/A,685.51,4151.1,N/A,N/A
N/A,805.38,4151.2,N/A,N/A
N/A,183.34,4150.9,N/A,N/A
N/A,530.49,4151.1,N/A,N/A
N/A,816.53,4150.6,N/A,N/A
N/A,247.2,4151.2,N/A,N/A
N/A,777.06,4150.9,N/A,N/A
N/A,7.0366,4151.0,N/A,N/A
N/A,458.22,4151.2,N/A,N/A
N/A,561.01,4150.9,N/A,N/A
N/A,1053.3,4151.3,N/A,N/A
N/A,389.5,4151.0,N/A,N/A
N/A,568.11,4151.2,N/A,N/A
N/A,990.34,4151.0,N/A,N/A
N/A,1024.8,4151.0,N/A,N/A
N/A,543.53,4150.9,N/A,N/A
N/A,1081.0,4151.2,N/A,N/A
N/A,3192.8,4148.7,N/A,N/A
N/A,884.98,4151.1,N/A,N/A
N/A,371.04,4151.1,N/A,N/A
N/A,270.09,4151.0,N/A,N/A
N/A,175.66,4151.0,N/A,N/A
N/A,795.53,4150.9,N/A,N/A
N/A,417.7,4151.4,N/A,N/A
N/A,1146.9,4151.3,N/A,N/A
N/A,906.82,4151.0,N/A,N/A
N/A,128.21,4150.9,N/A,N/A
N/A,255.53,4151.2,N/A,N/A
N/A,441.22,4151.2,N/A,N/A
N/A,31.486,4151.0,N/A,N/A
N/A,50.483,4151.0,N/A,N/A
N/A,333.25,4151.2,N/A,N/A
N/A,14.542,4150.8,N/A,N/A
N/A,646.83,4151.6,N/A,N/A
N/A,510.43,4151.1,N/A,N/A
N/A,516.92,4150.9,N/A,N/A
N/A,672.98,4151.2,N/A,N/A
N/A,1034.9,4151.2,N/A,N/A
N/A,1129.3,4151.2,N/A,N/A
N/A,429.29,4150.7,N/A,N/A
N/A,655.73,4151.3,N/A,N/A
N/A,1166.3,4151.1,N/A,N/A
N/A,976.46,4151.1,N/A,N/A
N/A,829.23,4151.0,N/A,N/A
N/A,734.31,4151.3,N/A,N/A
N/A,1177.9,4150.9,N/A,N/A
N/A,1107.1,4151.2,N/A,N/A
N/A,449.87,4151.0,N/A,N/A
N/A,603.32,4151.4,N/A,N/A
N/A,745.08,4151.0,N/A,N/A
N/A,218.03,4151.2,N/A,N/A
N/A,107.37,4151.2,N/A,N/A
N/A,837.52,4150.9,N/A,N/A
N/A,76.941,4151.2,N/A,N/A
N/A,400.45,4151.1,N/A,N/A
N/A,1184.1,4151.0,N/A,N/A
N/A,411.19,4151.4,N/A,N/A
N/A,965.82,4151.2,N/A,N/A
N/A,200.99,4151.0,N/A,N/A
N/A,594.29,4151.5,N/A,N/A
N/A,1412.3,4151.5,N/A,N/A
N/A,1460.0,4151.0,N/A,N/A
N/A,1473.7,4151.2,N/A,N/A
N/A,1492.9,4151.1,N/A,N/A
N/A,1501.7,4150.9,N/A,N/A
N/A,1516.3,4151.2,N/A,N/A
N/A,1535.2,4151.0,N/A,N/A
N/A,1543.0,4150.9,N/A,N/A
N/A,1554.4,4150.9,N/A,N/A
N/A,1562.0,4151.0,N/A,N/A
N/A,1585.0,4151.1,N/A,N/A
N/A,1600.5,4151.3,N/A,N/A
N/A,1606.3,4151.0,N/A,N/A
N/A,1613.7,4151.2,N/A,N/A
N/A,1627.8,4150.9,N/A,N/A
N/A,1633.6,4151.0,N/A,N/A
N/A,1641.6,4151.1,N/A,N/A
N/A,1653.9,4151.2,N/A,N/A
N/A,1665.2,4151.1,N/A,N/A
N/A,1678.3,4151.2,N/A,N/A
N/A,1685.7,4151.0,N/A,N/A
N/A,1695.7,4151.2,N/A,N/A
N/A,1705.0,4151.0,N/A,N/A
N/A,1714.0,4150.9,N/A,N/A
N/A,1729.4,4151.1,N/A,N/A
N/A,1754.2,4151.3,N/A,N/A
N/A,1762.3,4151.2,N/A,N/A
N/A,1781.0,4151.4,N/A,N/A
N/A,1792.0,4151.3,N/A,N/A
N/A,1802.0,4151.2,N/A,N/A
N/A,1824.9,4151.2,N/A,N/A
N/A,1837.8,4151.1,N/A,N/A
N/A,1850.0,4151.2,N/A,N/A
N/A,1866.2,4151.0,N/A,N/A
N/A,1873.0,4151.2,N/A,N/A
N/A,1888.8,4151.2,N/A,N/A
N/A,1901.8,4151.2,N/A,N/A
N/A,1923.3,4151.1,N/A,N/A
N/A,1929.2,4151.0,N/A,N/A
N/A,1944.1,4151.3,N/A,N/A
N/A,1965.0,4151.5,N/A,N/A
N/A,1993.4,4151.0,N/A,N/A
N/A,2004.5,4151.2,N/A,N/A
N/A,2018.4,4151.3,N/A,N/A
N/A,2030.7,4151.1,N/A,N/A
N/A,2039.0,4151.1,N/A,N/A
N/A,2046.3,4151.1,N/A,N/A
N/A,2061.8,4151.1,N/A,N/A
N/A,2081.1,4150.8,N/A,N/A
N/A,2091.0,4151.2,N/A,N/A
N/A,2100.0,4151.2,N/A,N/A
N/A,2118.9,4151.3,N/A,N/A
N/A,2128.2,4151.0,N/A,N/A
