name,x,y,mag,counts
GSC06325-02056,984.29,725.02,11.11,1285000.0
GSC06325-01756,1029.3,1014.1,11.02,756000.0
GSC06325-01888,621.01,972.65,12.53,507300.0
GSC06325-00770,135.55,518.09,12.04,480200.0
GSC06325-00659,253.14,230.33,12.0,335000.0
GSC06325-00662,290.18,549.87,12.37,244500.0
GSC06325-00560,912.45,91.763,13.01,213300.0
GSC06325-00179,333.75,138.48,12.5,198400.0
GSC06325-00131,658.74,19.127,12.72,186200.0
GSC06325-00140,537.96,259.74,12.67,176500.0
GSC06325-00008,1242.8,548.02,12.94,167600.0
GSC06325-00509,464.63,30.081,13.25,167300.0
GSC06325-00347,950.94,333.45,12.88,163700.0
GSC06325-00086,820.57,190.41,12.9,150300.0
GSC06325-00656,879.47,193.12,13.46,120200.0
GSC06325-00425,127.22,51.93,13.37,114100.0
GSC06325-00059,1188.7,565.89,13.6,112200.0
GSC06325-00551,330.48,227.05,13.21,96290.0
GSC06325-00786,667.87,309.53,13.45,95150.0
GSC06325-00104,710.31,129.26,13.65,92160.0
GSC06325-00365,1241.7,479.76,12.84,78560.0
GSC06325-02092,339.52,688.15,13.92,72460.0
GSC06325-00089,677.78,517.87,13.93,72390.0
GSC06325-01807,643.51,972.2,14.3,69390.0
GSC06325-00737,589.99,392.1,14.03,69170.0
GSC06325-00326,265.26,239.47,14.08,68050.0
GSC06325-01934,1009.4,850.75,14.14,64620.0
GSC06325-00275,1118.4,263.86,14.49,64350.0
GSC06325-00293,689.52,481.92,13.84,62600.0
GSC06325-00236,203.71,448.44,13.56,61020.0
GSC06325-00257,505.77,548.49,14.22,59010.0
GSC06325-00413,1101.5,616.74,14.46,58100.0
GSC06325-00329,352.27,499.51,14.08,52860.0
GSC06325-02046,897.42,705.28,14.42,51720.0
GSC06325-00254,1032.3,137.42,14.58,48520.0
GSC06325-00248,207.13,468.91,14.84,42890.0
GSC06325-00611,459.8,540.38,14.58,42870.0
GSC06325-00068,234.48,679.47,14.67,40670.0
GSC06325-00392,235.01,263.19,14.31,39850.0
GSC06325-00467,26.145,69.764,14.9,38900.0
GSC06325-00473,718.24,418.41,14.89,38830.0
GSC06325-00116,799.81,30.148,14.79,38280.0
GSC06325-02077,209.22,706.68,13.89,37700.0
GSC06325-00287,1252.5,502.83,14.43,37690.0
GSC06325-00794,262.65,603.2,14.54,37180.0
GSC06325-01872,713.96,1003.7,13.94,36710.0
GSC06325-02091,1168.1,658.05,14.73,36510.0
GSC06325-00350,102.79,532.26,14.61,36220.0
GSC06325-02093,1052.8,703.99,14.89,36150.0
GSC06325-01849,193.09,928.09,14.46,35960.0
GSC06325-00650,886.93,17.26,15.13,35140.0
GSC06325-00047,1116.9,614.85,14.99,35030.0
GSC06325-00134,250.47,442.64,14.97,34610.0
GSC06325-01900,717.47,997.77,14.2,34540.0
GSC06325-00755,969.63,257.2,14.64,34060.0
GSC06325-01723,822.27,1028.4,14.99,33310.0
GSC06325-01922,603.54,830.71,15.12,33130.0
N/A,290.33,543.53,N/A,32690.0
GSC06325-00680,618.89,452.17,14.87,32150.0
GSC06325-00167,523.82,200.08,14.39,31510.0
GSC06325-00743,512.1,517.23,14.79,31200.0
GSC06325-02055,280.91,854.05,15.06,30000.0
GSC06325-01750,645.03,1020.1,15.41,27800.0
GSC06325-02061,950.97,743.52,14.34,25970.0
GSC06325-02060,505.93,723.69,15.29,24440.0
GSC06325-00740,566.59,496.75,15.14,24340.0
GSC06325-01824,452.29,1034.6,15.29,24230.0
N/A,212.61,712.0,N/A,23510.0
GSC06325-00599,772.17,404.94,15.29,23490.0
GSC06325-01884,146.5,882.25,15.4,22880.0
GSC06325-01790,444.05,996.8,15.48,22860.0
GSC06325-00314,482.48,30.405,15.2,21790.0
GSC06325-00395,300.76,495.62,14.74,21720.0
GSC06325-01910,930.77,845.53,15.41,21480.0
GSC06325-00500,847.82,114.98,15.19,21250.0
GSC06325-02005,805.65,823.44,15.37,20760.0
GSC06325-02097,418.32,684.48,15.05,20720.0
GSC06325-01846,506.69,892.68,15.21,20520.0
GSC06325-00461,589.82,256.17,15.4,20030.0
GSC06325-00359,909.94,76.468,14.41,19730.0
GSC06325-01940,958.83,814.65,15.47,19190.0
GSC06325-00311,72.851,386.93,14.92,19060.0
N/A,617.04,541.05,N/A,18910.0
GSC06325-02081,385.82,805.05,15.05,18880.0
N/A,1103.4,799.15,N/A,18730.0
GSC06325-00191,745.22,20.969,15.34,18670.0
N/A,880.98,306.83,N/A,18540.0
N/A,1253.2,55.908,N/A,18540.0
GSC06325-02144,1112.5,381.11,15.52,18450.0
N/A,886.94,699.67,N/A,18280.0
GSC06325-01779,862.5,978.22,15.18,18190.0
N/A,530.31,517.34,N/A,18030.0
GSC06325-00041,204.05,438.83,15.22,17560.0
N/A,167.88,561.33,N/A,17360.0
GSC06325-00728,430.16,489.62,15.31,16990.0
N/A,1125.2,558.87,N/A,16670.0
N/A,900.39,144.65,N/A,15960.0
N/A,55.805,879.53,N/A,15800.0
GSC06325-01912,520.36,912.45,15.47,15780.0
N/A,1066.1,259.09,N/A,15690.0
N/A,11.46,312.15,N/A,15630.0
N/A,1211.6,461.55,N/A,15540.0
GSC06325-00128,917.67,240.59,14.89,15450.0
N/A,131.67,746.27,N/A,15440.0
N/A,242.3,595.62,N/A,15380.0
N/A,393.28,505.58,N/A,15250.0
N/A,311.82,421.64,N/A,15240.0
N/A,199.34,927.53,N/A,15140.0
N/A,529.92,203.81,N/A,15090.0
GSC06325-00587,1131.5,553.02,15.13,14950.0
N/A,527.21,559.54,N/A,14910.0
GSC06325-01887,445.9,977.36,15.31,14470.0
N/A,1067.6,74.993,N/A,14320.0
N/A,381.89,201.92,N/A,13630.0
N/A,98.722,231.2,N/A,13500.0
N/A,448.02,838.71,N/A,13470.0
N/A,710.04,596.79,N/A,13450.0
N/A,60.288,943.55,N/A,13300.0
N/A,366.59,246.47,N/A,13190.0
N/A,750.02,981.15,N/A,13190.0
N/A,282.1,264.92,N/A,12970.0
N/A,867.19,25.836,N/A,12830.0
GSC06325-02127,954.89,69.71,15.39,12760.0
N/A,1246.4,777.49,N/A,12440.0
N/A,53.438,809.89,N/A,12410.0
N/A,175.29,278.21,N/A,12360.0
N/A,36.248,132.87,N/A,12330.0
N/A,346.42,658.06,N/A,12150.0
N/A,1255.1,829.94,N/A,12110.0
N/A,283.22,950.32,N/A,11950.0
N/A,204.17,581.51,N/A,11870.0
N/A,766.71,125.93,N/A,11830.0
